source_name,url,record_type,primary_topic,secondary_topic,targeting_type,follower_tier,content_style,mainstream_flag,pod,youtube,facebook,x,instagram,tiktok,substack,online,rumble,telegram,cable,radio,TSP,CEC,TC,WE,PP,HF,PFF,HHN,MFL,VS,UCP,FJP,HCP,HAD,HCI,GHI,reach_score,uniqueness_score,recognition_score,scale_fit_score,strategic_priority,field_eligible,field_eligible_relaxed,track
The Majority Report,majorityfm.com,source,Worker and economic issues,Political news and commentary,Sponsorship,macro,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,2,3,10,1,1,DEM
NEJM Catalyst,catalyst.nejm.org,source,Health technology and innovation,Health policy,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,3,9,0,0,DEM
Fierce Healthcare,fiercehealthcare.com,source,Health technology and innovation,Health policy,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,1,3,9,0,1,DEM
Healthcare IT News,healthcareitnews.com,source,Health technology and innovation,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,1,2,8,0,1,DEM
HIMSS Media,himss.org/news,source,Health technology and innovation,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,3,10,0,1,DEM
Digital Health Today,digitalhealthtoday.com,source,Health technology and innovation,,Sponsorship,micro,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,1,3,8,0,1,BOTH
Becker's Health IT,beckershospitalreview.com,source,Health technology and innovation,Health policy,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,3,10,0,1,DEM
Forbes Healthcare,forbes.com/healthcare,source,Health technology and innovation,Health policy,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,2,2,3,10,1,1,BOTH
CB Insights Health,cbinsights.com/research/health,source,Health technology and innovation,,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,3,0,3,9,0,0,BOTH
A16z Health ,a16z.com/bio,source,Health technology and innovation,Longevity and anti-aging,Sponsorship,macro,educational,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,2,3,10,1,1,BOTH
The Health Innovation Podcast,healthinnovation.org,source,Health technology and innovation,,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2,0,3,7,0,0,BOTH
Omada Health Insights,omadahealth.com/blog,source,Health technology and innovation,,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,9,0,0,DEM
Aidoc AI Health,aidoc.com/blog,source,Health technology and innovation,,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,3,9,0,0,DEM
Grist,grist.org,source,Environmental and climate health,Political news and commentary,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2,3,11,1,1,DEM
Yale Climate Connections,yaleclimateconnections.org,source,Environmental and climate health,Science and medical research,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,3,10,0,1,DEM
Environmental Health News,ehn.org,source,Environmental and climate health,Science and medical research,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,1,2,9,0,1,DEM
Climate Now Podcast,climatenow.com,source,Environmental and climate health,,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3,8,0,0,DEM
Inside Climate News,insideclimatenews.org,source,Environmental and climate health,Political news and commentary,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,1,3,10,0,1,DEM
Global Health Now  (JHSPH),globalhealthnow.org,source,Environmental and climate health,Science and medical research,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,3,9,0,0,DEM
Lancet Countdown on Health & Climate,thelancet.com/climate,source,Environmental and climate health,Science and medical research,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,3,9,0,0,DEM
NRDC Health ,nrdc.org/health,source,Environmental and climate health,Political news and commentary,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2,3,11,1,1,DEM
Sierra Club Health,sierraclub.org/health,source,Environmental and climate health,Political news and commentary,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,2,3,11,1,1,DEM
Health and Environment Alliance,env-health.org,source,Environmental and climate health,,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,3,9,0,0,DEM
EWG  (Environmental Working Group),ewg.org,source,Environmental and climate health,Natural and alternative health,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,2,2,2,9,1,1,BOTH
Safer Chemicals Healthy Families,saferchemicals.org,source,Environmental and climate health,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,2,0,2,7,0,0,BOTH
Climate and Health Council,climateandhealth.org,source,Environmental and climate health,Science and medical research,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,3,9,0,0,DEM
Epoch TV,epochtv.com,source,Political news and commentary,,Addressable,,activist,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,2,0,3,8,0,0,GOP
Crowder  (Louder with Crowder),rumble.com/c/LouderWithCrowder,source,Political news and commentary,,Organic,,entertainment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
One America News ,oann.com,source,Political news and commentary,,Addressable,,activist,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,2,0,3,8,0,0,GOP
Stew Peters Network Telegram,t.me/stewpeters,source,Vaccines and immunization,Political news and commentary,Organic,,activist,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
Health Freedom Telegram,t.me/healthfreedom,source,Vaccines and immunization,,Organic,,educational,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
Epoch Health Telegram,t.me/epochhealth,source,Natural and alternative health,Vaccines and immunization,Organic,,educational,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,3,7,0,0,GOP
Rural Health Information Hub,ruralhealthinfo.org,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,10,0,1,GOP
The Rural Monitor  (NRHA),ruralhealthweb.org,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
National Rural Health Association,ruralhealthweb.org/news,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,10,0,1,GOP
Rural Health Voices Podcast,ruralhealthvoices.org,source,Health policy,,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,8,0,0,GOP
Rural Health Quarterly,ruralhealthquarterly.com,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Chartis Center for Rural Health,chartis.com/rural-health,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Flex Monitoring Team ,flexmonitoring.org,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
AgriTalk Radio,agritalk.com,source,Political news and commentary,,Broad,micro,activist,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,GOP
Farm Bureau News  (AFBF),fb.org/news,source,Political news and commentary,Health policy,Addressable,macro,activist,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,11,1,1,GOP
Brownfield Ag News,brownfieldagnews.com,source,Political news and commentary,,Broad,,activist,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,GOP
Successful Farming,agriculture.com,source,Political news and commentary,,Addressable,,activist,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Farm Journal ,agweb.com,source,Political news and commentary,,Addressable,micro,activist,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,10,0,1,GOP
Heartland Institute Health Care News,heartland.org/health-care,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Health Care News ,heartland.org/publications/health-care-news,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Pacific Research Institute Health,pacificresearch.org/health,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
NCPA Health Policy,ncpa.org/health,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Pioneer Institute Health,pioneerinstitute.org/health,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Right to Try Foundation,righttotry.org,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,2,8,0,1,GOP
Alliance for Patient Access,allianceforpatientaccess.org,source,Health policy,Science and medical research,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,10,0,1,GOP
Patient Rising Podcast,patientrising.org,source,Health policy,,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,8,0,0,GOP
21st Century Cures Advocacy,curesadvocacy.org,source,Health policy,Science and medical research,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Sinclair Broadcast Health Coverage,sinclairnewsroom.com,source,Political news and commentary,,Broad,,educational,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,GOP
Nexstar Media Health Coverage,nexstar.tv,source,Political news and commentary,,Broad,,activist,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,GOP
Talk Radio ,talkers.com,source,Political news and commentary,,Broad,,activist,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,GOP
FDA Voice ,fda.gov/news-events,source,Science and medical research,Health policy,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
NIH News in Health,newsinhealth.nih.gov,source,Science and medical research,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,3,9,0,0,BOTH
CDC Health Matters Podcast,cdc.gov/podcast,source,Science and medical research,Vaccines and immunization,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3,8,0,0,BOTH
Health Rosetta  (Dave Chase),healthrosetta.org,source,Health policy,,Sponsorship,micro,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,9,0,1,GOP
Catalyst for Payment Reform,catalyzepaymentreform.org,source,Health policy,,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Clear Health Costs,clearhealthcosts.com,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,10,0,1,GOP
Healthcare Transparency Initiative,healthcaretransparency.org,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Reframe Health Lab,reframehealth.com,source,Health policy,,Sponsorship,,educational,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,8,0,0,GOP
Center for Health Care Strategies,chcs.org,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,3,9,0,0,BOTH
DPC Frontier ,dpcfrontier.com,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Direct Primary Care Journal,dpcare.org,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,10,0,1,GOP
DPC Alliance Podcast,dpcare.org/podcast,source,Health policy,,Sponsorship,,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,8,0,0,GOP
Self-Insurance Institute of America,siia.org/news,source,Health policy,Worker and economic issues,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Employee Benefits Adviser,benefitspro.com/employee-benefits-adviser,source,Health policy,Worker and economic issues,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
HR Dive Health Benefits,hrdive.com/topic/benefits,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Business Group on Health,businessgrouphealth.org,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,10,0,1,GOP
ERIC ,eric.org,source,Health policy,,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Manhattan Institute Health,manhattan-institute.org/health,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,10,0,1,GOP
Competitive Enterprise Institute,cei.org/health,source,Health policy,,Addressable,micro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,10,0,1,GOP
Texas Public Policy Foundation,texaspolicy.com/health,source,Health policy,,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,0,0,GOP
Forbes Health,forbes.com/health,source,Health policy,Health technology and innovation,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,2,3,10,1,1,BOTH
Health Affairs Forefront,healthaffairs.org/forefront,source,Health policy,,Addressable,,educational,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,3,8,0,0,BOTH
Second Opinion  (Lanhee Chen),secondopinionpodcast.com,source,Health policy,,Sponsorship,micro,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,9,0,1,GOP
The Gist  (Advisory Board),advisory.com/daily-briefing,source,Health policy,,Sponsorship,micro,educational,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,3,8,0,1,BOTH
Consumer Reports Health,consumerreports.org/health,source,Health policy,,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,11,1,1,GOP
PatientEngagementHIT,patientengagementhit.com,source,Health policy,Health technology and innovation,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,9,0,0,BOTH
UFCW  (United Food Workers Health),ufcw.org/health-care,source,Worker and economic issues,Health policy,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,2,3,11,1,1,BOTH
UAW Health and Benefits,uaw.org/health,source,Worker and economic issues,Health policy,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,2,3,11,1,1,BOTH
IBEW Health Benefits,ibew.org/media-center/health,source,Worker and economic issues,Health policy,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,9,0,0,BOTH
USW  (United Steelworkers Health),usw.org/news/health,source,Worker and economic issues,Health policy,Addressable,,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,9,0,0,BOTH
